-30 -80 90 
90 -80 90 

-30 -70 90 
90 -70 90 

-30 -60 90 
90 -60 90 

-30 -50 90 
90 -50 90 

-30 -40 90 
90 -40 90 

-30 -30 90 
90 -30 90 

-30 -20 90 
90 -20 90 

-30 -10 90 
90 -10 90 

-30 0 90 
90 0 90 

-30 10 90 
90 10 90 

-30 20 90 
90 20 90 

-30 30 90 
90 30 90 

-30 40 90 
90 40 90 

-30 50 90 
90 50 90 

-30 60 90 
90 60 90 

-30 70 90 
90 70 90 

-30 80 90 
90 80 90 

-30 90 90 
90 90 90 

-30 -80 90 
-30 80 90 

-20 -80 90 
-20 80 90 

-10 -80 90 
-10 80 90 

0 -80 90 
0 80 90 

10 -80 90 
10 80 90 

20 -80 90 
20 80 90 

30 -80 90 
30 80 90 

40 -80 90 
40 80 90 

50 -80 90 
50 80 90 

60 -80 90 
60 80 90 

70 -80 90 
70 80 90 

80 -80 90 
80 80 90 

90 -80 90 
90 80 90 

100 -80 90 
100 80 90 

110 -80 90 
110 80 90 

120 -80 90 
120 80 90 

130 -80 90 
130 80 90 

140 -80 90 
140 80 90 

