-30 -80 -80 
90 -80 -80 

-30 -70 -80 
90 -70 -80 

-30 -60 -80 
90 -60 -80 

-30 -50 -80 
90 -50 -80 

-30 -40 -80 
90 -40 -80 

-30 -30 -80 
90 -30 -80 

-30 -20 -80 
90 -20 -80 

-30 -10 -80 
90 -10 -80 

-30 0 -80 
90 0 -80 

-30 10 -80 
90 10 -80 

-30 20 -80 
90 20 -80 

-30 30 -80 
90 30 -80 

-30 40 -80 
90 40 -80 

-30 50 -80 
90 50 -80 

-30 60 -80 
90 60 -80 

-30 70 -80 
90 70 -80 

-30 80 -80 
90 80 -80 

-30 90 -80 
90 90 -80 

-30 -80 -80 
-30 80 -80 

-20 -80 -80 
-20 80 -80 

-10 -80 -80 
-10 80 -80 

0 -80 -80 
0 80 -80 

10 -80 -80 
10 80 -80 

20 -80 -80 
20 80 -80 

30 -80 -80 
30 80 -80 

40 -80 -80 
40 80 -80 

50 -80 -80 
50 80 -80 

60 -80 -80 
60 80 -80 

70 -80 -80 
70 80 -80 

80 -80 -80 
80 80 -80 

90 -80 -80 
90 80 -80 

100 -80 -80 
100 80 -80 

110 -80 -80 
110 80 -80 

120 -80 -80 
120 80 -80 

130 -80 -80 
130 80 -80 

140 -80 -80 
140 80 -80 

